Default,Client,KEYWORDS,CONTAIN_LIST,CONTAIN_CATEGORY,EXCEPT_LIST,EXCEPT_CATEGORY
0,ARVINDINTERNET,,,,,
0,,Condition,,Beauty Products and Personal Care; Baby Care; Health and Wellness;Uncategorized,,
0,,Face,,Beauty Products and Personal Care; Health and Wellness; Baby Care;Uncategorized,Bar; Helmet; Towel; Bag; Sock; Dress; Jacket; Legwarmer; Emotisorbs; Winking; Hoodie; Cap; Tissue; Elastic; Tape; Mini; Funny; Cute; Cartoon; Print; Animal; Cloth; Blanket; Tissue; Pollution; Bike; Sleeves; Boot; Chain; Steamer;Surface,"Apparel and Accessories; Home and Kitchen; Books, Software and E-learning"
0,,Facial,,Beauty Products and Personal Care; Health and Wellness; Baby Care; Uncategorized;Massager,Steamer; Bat; Towel; Hair Remo;Threader,
0,,Shav,Gel; Cream,,Cap; Shaver;Trimmer," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Shav,,Beauty Products and Personal Care; Health and Wellness; Baby Care;Uncategorized,Cap; Shaver;Trimmer," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Shower,Cream; Body; Gel,,Cap," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Shower,,Beauty Products and Personal Care; Health and Wellness; Baby Care;Uncategorized,Cap," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Skin,,Beauty Products and Personal Care; Health and Wellness; Baby Care;Uncategorized,Bra; Socks; Tweeser; Spring; Shapewear; Top; Camisole; Bikini; Tweezer; I6; I5; Hipster; Short; Dermawear; Romper; Stocking;Bag; glove; Legging,Shoes and footwear;  Apparel and Accessories
0,,Skin,Medicine; Homeopathic,,Bra; Socks; Tweeser; Spring; Shapewear; Top; Camisole; Bikini; Tweezer; I6; I5; Hipster; Short; Dermawear; Romper; Stocking;Bag; glove; Legging,Shoes and footwear;  Apparel and Accessories
0,,Spray,Spray; Lotion,Beauty Products and Personal Care; Health and Wellness; Baby Care;Uncategorized;Automotive,Gun;Brush," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Wash,Face; Body,,Jean; Brush; Boot; Cloth; Handkerchief; Mat;Yepme,Shoes and footwear; Apparel and Accessories
0,,Wash,,Beauty Products and Personal Care; Baby Care;Uncategorized,Jean; Brush; Boot; Cloth; Handkerchief; Mat;Yepme,Shoes and footwear; Apparel and Accessories
0,,Cream,,Beauty Products and Personal Care; Baby Care; Health and Wellness;Uncategorized,Dhoti; Saree; Salwar; Kameez; Wedge; Heels; Do Bhai; Top; kurti; Clip; Belt; Tee; Short; Sweatshirt; Shawl; Bellies; Frock; Suit; Skirt; Trousers; Pants; Gown; Handbag; Headband; Legging; Spaghetti; Lehenga; Shirt; Curtain; Top; Sandal; Loafer; Flat; Cardigan; Ring; Hoodie; Romper; Cookie; Bowknot; Jacket; Maxi; Duppata; Clutch; Trouser; Sweater; Jegging; Belt; Seat; Jacket; Cap; Cute; Band; Hat; Dress; Shoe; Ballerina; Seat; Toy; Pasta; Towel; Walet; Earring; Bear; Teddy; Hair Band;Gloves,Shoes and footwear; Apparel and Accessories
0,,Mask,Kit,,Bike; Cloth; Mat; 3M; Eye; Pillow;Drake Sleeping," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Mask,,Beauty Products and Personal Care; Baby Care;Uncategorized,Bike; Cloth; Mat; 3M; Eye; Pillow;Drake Sleeping," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Wax,Hair; Mooch,,Strip;Epilator,
0,,Sample,,Home and Kitchen Appliances; Stationary and Office Products; Automotive; Tools and Hardware; Sports and Outdoors; Other Office Products;Uncategorized,,
0,,Kart,Rocket,,,
0,,Pest,Spray; Lotion; Insect,,Machine; Controller,
0,,ink,Epson; canon; brother; hp; printer,,Pink; Toothpaste;Turtle projector;Pen,Shoes and footwear; Apparel and Accessories
0,,Spa,,Beauty Products and Personal Care; Baby Care;Uncategorized,Hat;Mojari,Apparel and Accessories
0,,Johnson,,Beauty Products and Personal Care; Baby Care;Uncategorized;Health and Wellness,Strips," Shoes and footwear; Apparel and Accessories; Books, Software and E-learning"
0,,Powder,,Beauty Products and Personal Care; Baby Care;Uncategorized;Health and Wellness,Nutrition,
0,,Hugo,Boss night,,,
0,,Pill,,Health and Wellness,Pillow,
0,,Power,,Health and Wellness,,
0,,fa,,Deodrants and Fragrances,Shoe; Sneaker,
0,Amazon,,,,,
1,,AIR GUN,,,,
1,,After Shave,,,,
1,,Balm,,,,
1,,Battery,,,Cover; Case; Handset; Headset; 2nd Gen; Train; Toy; Dog; Puppy; Monkey; Jump; Doctor; Mug; Blender; Powerbank; Power Bank;Lava Iris; Asus; Samsung Galaxy; iPhone; Panasonic; Headphone; Watches; Trimmer;Micromax; Samsung; Motorola; Oppo; Intex; Nokia; Eureka; MotoG; Haier; Huawei; Sony; OnePlus; Acer; Gionee; Nexus; Spice; Lenovo; Vivo; Xolo; Philip; Seimen; Karbonn; Blackberry; Black berry;Plane;Clock,toys and games
1,,Cleaner,,,Mop; Fiber; Fibre; Vacuum; Vaccum; Ear; Pressure; Tongue; Brush; Dust; Pen,
1,,Deo,,,Video; Rhodeo; Rodeo; Sheet; Pant; English,"Movies,Music and Video Games; Electronics and Appliances; Camera and photos ; Apparel and Accessories; Books, Software and E-learning"
1,,EDT,,,RedTape; Top; Bowl; Shirt; Cotton; Bedtime; Staedtler; Pen,Shoes and footwear; Apparel and Accessories; Home and Kitchen; KitchenWare
1,,EDP,,,PrettySecret; Speedpost; Speed;Cover;Puma,Shoes and footwear; Apparel and Accessories;Sports and outdoors
1,,Fresh,,,Container; Foil; Air Loc; Styler; Striaghtner; Skirt; Cashew; Almond ; Pista; Tupperware; Saree; Blouse; English; Signoraware; Pack; Plastic; PrettySecret; Freshia; Sari; Box; Bottle; Towel; Mattress; Jar; Panty; Walnut; Raisin; Roasted; Salted; Juice; Kiwi; Fruit; lehenga;Diwan;Necklace;Earrings;Strawberry;hair styling kit,"Shoes and footwear; Apparel and Accessories; Home and Kitchen Appliances;Watches,Eyewear and Jewellery;Home Decor and Furnishing"
1,,Gel,,,Silicon; Cover; Bag; Angel; Bar; Softgels; Soft; Geliyo; Pen; Asics; Freecultr; Earring; Helmet; Mousepad; Screen Guard;Straightener,"Sports and Outdoors; Shoes and footwear;Home Decor and Furnishing;Computers; Laptops and Accessories; Books, Software and E-learning;Apparel and Accessories"
