"product_name","new_cat","new_subcat","cat","subcat"
"[FREE:1]Fine Print Ink For Epson L100 L110 L200 L210 L300 L350 L355 L550 L555 ( Buy 1 Get 1 Free ) (Type: Inkjet Printers)[FREE: EMI option also available ]","Computers, Laptops and Accessories","Ink Cartridges and Toners","Office Products","Ink Cartridges and Toners"
"[FREE:1]hTC Desire 526G+ (Color: Black  Memory: 8 GB)[FREE: Free 8 GB memory card ]","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"[FREE:1]Eternia Blue Polyester Batman Kid School Bag[FREE: Pencil Box including Natraj - Pencil, Rubber, Sharpener & Scale (1 each)._x005F_x000D_  ]","Handbags, Bags and Luggage","Luggage and Bags","Handbags, Bags and Luggage",
"[FREE:1]hTC Desire 526G+ (Color: White  Memory: 8 GB)[FREE: Free 8 GB Strontium Micro SD Card ]","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
"[FREE:1]Canon Powershot SX600HS 16MP Digital Camera[FREE: 8 GB Card (Inside the Box) + Camera Case (Inside the Box) ]","Camera and Photos","Digital Cameras","Camera and Photos","Digital Camera"
"[FREE:1]Emerge Thumb Wireless Bluetooth Speaker-silicon Red[FREE: Rubber luggage tag  ]","Electronics and Appliances","Speakers","Computers and Laptops","Speakers"
"[FREE:1]HTC RE 16MP Digital Camera (Color: White)[FREE: Free 8GB Micro SD Card ]","Camera and Photos","Digital Cameras","Mobile Phone, Tablets and Accesories","Mobiles"
"[FREE:1]Canon EOS 1200D with 18-55mm + 55-250mm Lens[FREE: 8GB Card [ Inside the Box ] + DSLR Bag [ Outside the Box ] ]","Camera and Photos","Camera Accessories","Camera and Photos","Digital Camera"
"[FREE:1]Canon EOS 600D  Combo with (18-55mm Lens + 55-250mm Lens[FREE: 8GB Card + DSLR Bag ]","Camera and Photos","DSLR","Camera and Photos","Digital Camera"
"[FREE:1]Canon PG-835 Ink Cartridge[FREE: EMI option also available ]","Computers, Laptops and Accessories","Ink Cartridges and Toners","Camera and Photos","Digital Camera"
"[FREE:1]Bosch IXO 3 Professional Cordless Screwdriver[FREE:  A HREF=""http://i.sdlcdn.com/img/product/descimg/Freebie.jpg"" Free 3M Ear Plug and 3M Nose Mask. /A  ]","Tools and Hardware","Other Tools","Tools and Hardware",
"[FREE:1]Canon EOS 1200D with 18-55mm + 55-250mm Lens[FREE: 8 GB Card (Inside the Box) + DSLR Carry Case (Outside the Box) ]","Camera and Photos","Camera Lens","Camera and Photos","Digital Camera"
"[Digital LCD Weighing Scale - 180Kgs]","Health and Wellness","Hospital and Medical Equipment","Sports and Outdoors","Sports Equipment"
"[FREE:1]Alfa BodyWarmer Cotton Melange Men's Thermal Set (Assorted Color) (Size: 85)[FREE: 1 Pair Socks Free   ]","Apparel and Accessories","Men's Clothing","Apparel & Accessories","Men's Clothing"
"[FREE:1]All Over Princess Reversible   Cartoon  Blanket-220 TC[FREE: This product is at special price. No promo code applicable. ]","Home and Kitchen","Home Decor and Furnishing","Home and Kitchen","Home Furnishing"
", Universal Nutrition Gain Fast 3100,  Strawberry  2.5 lb, 1425386929601","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Universal Nutrition Shock Therapy, Grape Ape 0.44 lbGrape Ape, Universal Nutrition Shock Therapy, Grape Ape 0.44 lbGrape Ape, 1420801809999","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Tansukh Vat Mantra,  50 capsules, 1423754875599","Health and Wellness","Massage and Pain Relief","Health and Wellness","Protein and Health Supplements"
", Tara Nutricare Magik Mass, Chocolate 2.2 lb, Tara Nutricare Magik Mass, Chocolate 2.2 lb, 1428131757588","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", UNIC Multimedia Projector - White","Electronics and Appliances","Projectors","Electronics and Appliances","Projectors"
", Tansukh Bhringraj Plus,  60 capsules, Tansukh Bhringraj Plus,  60 capsules, Tansukh Bhringraj Plus,  60 capsules, Tansukh Bhringraj Plus,  60 capsules, 1423825269744","Health and Wellness","Pharmacy Products","Health and Wellness","Protein and Health Supplements"
", Tansukh Chyawangold,  1000 g, 1423982884462","Health and Wellness","null","Health and Wellness","Protein and Health Supplements"
", SNT Monster Mass - 1 kg. - Choc. Flavour, SNT Monster Mass - 1 kg. - Choc. Flavour, 1423031932511","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
", Tansukh Bhringraj Plus,  60 capsules, 1423982933118","Beauty Products and Personal Care","Hair Care","Health and Wellness","Protein and Health Supplements"
", Tansukh Safed Musli,  50 capsules, 1423754914980","Health and Wellness","Sexual Wellness","Health and Wellness","Protein and Health Supplements"
", Sansui MOB-SAN-R2-BLACK RED","Mobile Phone, Tablets and Accessories","Mobiles","Mobile Phone, Tablets and Accesories","Mobiles"
", Schiek 6 Inch Leather Padded Contour Belt Brown, 1427176386090","Apparel and Accessories","null","Shoes and Footwear","Men's Footwear"
", SNT Gromass Xtra Gainer - 4 kg., 1428302005874","Health and Wellness","Protein and Health Supplements","Health and Wellness","Protein and Health Supplements"
